american_football.football_coach.coaching_history..american_football.football_historical_coach_position.position	american_football.football_coach	american_football.football_coach_position
american_football.football_coach.coaching_history..american_football.football_historical_coach_position.team	american_football.football_coach	american_football.football_team
american_football.football_coach.current_team_head_coached	american_football.football_coach	american_football.football_team
american_football.football_coach_position.coaches_holding_this_position..american_football.football_historical_coach_position.coach	american_football.football_coach_position	american_football.football_coach
american_football.football_coach_position.coaches_holding_this_position..american_football.football_historical_coach_position.team	american_football.football_coach_position	american_football.football_team
american_football.football_conference.divisions	american_football.football_conference	american_football.football_division
american_football.football_conference.league	american_football.football_conference	sports.sports_league
american_football.football_conference.teams	american_football.football_conference	american_football.football_team
american_football.football_division.conference	american_football.football_division	american_football.football_conference
american_football.football_division.teams	american_football.football_division	american_football.football_team
american_football.football_game.away_team	american_football.football_game	american_football.football_team
american_football.football_game.game_scores..american_football.football_game_score.team	american_football.football_game	american_football.football_team
american_football.football_game.home_team	american_football.football_game	american_football.football_team
american_football.football_game.passing..american_football.game_passing_statistics.player	american_football.football_game	american_football.football_player
american_football.football_game.passing..american_football.game_passing_statistics.team	american_football.football_game	american_football.football_team
american_football.football_game.receiving..american_football.game_receiving_statistics.player	american_football.football_game	american_football.football_player
american_football.football_game.receiving..american_football.game_receiving_statistics.team	american_football.football_game	american_football.football_team
american_football.football_game.rushing..american_football.game_rushing_statistics.player	american_football.football_game	american_football.football_player
american_football.football_game.rushing..american_football.game_rushing_statistics.team	american_football.football_game	american_football.football_team
american_football.football_game.season	american_football.football_game	sports.sports_league_season
american_football.football_player.games..american_football.player_game_statistics.season	american_football.football_player	sports.sports_league_season
american_football.football_player.games..american_football.player_game_statistics.team	american_football.football_player	american_football.football_team
american_football.football_player.passing..american_football.player_passing_statistics.season	american_football.football_player	sports.sports_league_season
american_football.football_player.passing..american_football.player_passing_statistics.team	american_football.football_player	american_football.football_team
american_football.football_player.position_s	american_football.football_player	sports.sports_position
american_football.football_player.receiving..american_football.player_receiving_statistics.season	american_football.football_player	sports.sports_league_season
american_football.football_player.receiving..american_football.player_receiving_statistics.team	american_football.football_player	american_football.football_team
american_football.football_player.rushing..american_football.player_rushing_statistics.season	american_football.football_player	sports.sports_league_season
american_football.football_player.rushing..american_football.player_rushing_statistics.team	american_football.football_player	american_football.football_team
american_football.football_team.away_games	american_football.football_team	american_football.football_game
american_football.football_team.conference	american_football.football_team	american_football.football_conference
american_football.football_team.current_head_coach	american_football.football_team	american_football.football_coach
american_football.football_team.division	american_football.football_team	american_football.football_division
american_football.football_team.historical_coaching_staff..american_football.football_historical_coach_position.coach	american_football.football_team	american_football.football_coach
american_football.football_team.historical_coaching_staff..american_football.football_historical_coach_position.position	american_football.football_team	american_football.football_coach_position
american_football.football_team.home_games	american_football.football_team	american_football.football_game
amusement_parks.amusement_park_area.parks	amusement_parks.amusement_park_area	amusement_parks.park
amusement_parks.amusement_park_area.rides	amusement_parks.amusement_park_area	amusement_parks.ride
amusement_parks.disney_ride.ticket..amusement_parks.disney_ride_ticket_membership.ticket	amusement_parks.disney_ride	amusement_parks.disney_ride_ticket
amusement_parks.disney_ride_ticket.rides..amusement_parks.disney_ride_ticket_membership.ride	amusement_parks.disney_ride_ticket	amusement_parks.disney_ride
amusement_parks.park.areas	amusement_parks.park	amusement_parks.amusement_park_area
amusement_parks.park.rides	amusement_parks.park	amusement_parks.ride
amusement_parks.ride.area	amusement_parks.ride	amusement_parks.amusement_park_area
amusement_parks.ride.cost..measurement_unit.dated_money_value.currency	amusement_parks.ride	finance.currency
amusement_parks.ride.designer	amusement_parks.ride	amusement_parks.ride_designer
amusement_parks.ride.includes_film	amusement_parks.ride	film.film
amusement_parks.ride.manufacturer	amusement_parks.ride	amusement_parks.ride_manufacturer
amusement_parks.ride.park	amusement_parks.ride	amusement_parks.park
amusement_parks.ride.ride_type	amusement_parks.ride	amusement_parks.ride_type
amusement_parks.ride.theme	amusement_parks.ride	amusement_parks.ride_theme
amusement_parks.ride_designer.rides	amusement_parks.ride_designer	amusement_parks.ride
amusement_parks.ride_manufacturer.rides	amusement_parks.ride_manufacturer	amusement_parks.ride
amusement_parks.ride_theme.rides	amusement_parks.ride_theme	amusement_parks.ride
amusement_parks.ride_type.rides	amusement_parks.ride_type	amusement_parks.ride
amusement_parks.roller_coaster.material	amusement_parks.roller_coaster	amusement_parks.roller_coaster_material
amusement_parks.roller_coaster.propulsion	amusement_parks.roller_coaster	amusement_parks.roller_coaster_propulsion_system
amusement_parks.roller_coaster.train_configuration	amusement_parks.roller_coaster	amusement_parks.roller_coaster_train_configuration
